"module name","licenses","repository","licenseUrl","parents"
"camelcase@1.2.1","MIT","https://github.com/sindresorhus/camelcase","https://github.com/sindresorhus/camelcase/raw/master/license","zoonavigator-web"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase","https://github.com/sindresorhus/camelcase/raw/master/license","camelcase-keys:zoonavigator-web"
"camelcase@3.0.0","MIT","https://github.com/sindresorhus/camelcase","https://github.com/sindresorhus/camelcase/raw/master/license","yargs-parser:zoonavigator-web"
"camelcase@4.0.0","MIT","https://github.com/sindresorhus/camelcase","https://github.com/sindresorhus/camelcase/raw/master/license","boxen:zoonavigator-web"
"caniuse-api@1.5.3","MIT","https://github.com/nyalab/caniuse-api","https://github.com/nyalab/caniuse-api/raw/master/LICENSE","zoonavigator-web"
"caniuse-db@1.0.30000646","CC-BY-4.0","https://github.com/Fyrd/caniuse","https://github.com/Fyrd/caniuse/raw/master/LICENSE","zoonavigator-web"
"capture-stack-trace@1.0.0","MIT","https://github.com/floatdrop/capture-stack-trace","https://github.com/floatdrop/capture-stack-trace","zoonavigator-web"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless","https://github.com/mikeal/caseless/raw/master/LICENSE","zoonavigator-web"
"center-align@0.1.3","MIT","https://github.com/jonschlinkert/center-align","https://github.com/jonschlinkert/center-align/raw/master/LICENSE","zoonavigator-web"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk","https://github.com/chalk/chalk/raw/master/license","zoonavigator-web"
"chokidar@1.6.1","MIT","https://github.com/paulmillr/chokidar","https://github.com/paulmillr/chokidar","zoonavigator-web"
"cipher-base@1.0.3","MIT","https://github.com/crypto-browserify/cipher-base","https://github.com/crypto-browserify/cipher-base","zoonavigator-web"
"clap@1.1.3","MIT","https://github.com/lahmatiy/clap","https://github.com/lahmatiy/clap/raw/master/LICENSE","zoonavigator-web"
"clean-css@4.0.10","MIT","https://github.com/jakubpawlowicz/clean-css","https://github.com/jakubpawlowicz/clean-css/raw/master/LICENSE","zoonavigator-web"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes","https://github.com/sindresorhus/cli-boxes/raw/master/license","zoonavigator-web"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor","https://github.com/sindresorhus/cli-cursor/raw/master/license","zoonavigator-web"
"cli-width@2.1.0","ISC","https://github.com/knownasilya/cli-width","https://github.com/knownasilya/cli-width/raw/master/LICENSE","zoonavigator-web"
"cliui@2.1.0","ISC","https://github.com/bcoe/cliui","https://github.com/bcoe/cliui/raw/master/LICENSE.txt","zoonavigator-web"
"cliui@3.2.0","ISC","https://github.com/yargs/cliui","https://github.com/yargs/cliui/raw/master/LICENSE.txt","sass-graph:zoonavigator-web"
"clone@1.0.2","MIT","https://github.com/pvorb/node-clone","https://github.com/pvorb/node-clone/raw/master/LICENSE","zoonavigator-web"
"co@4.6.0","MIT","https://github.com/tj/co","https://github.com/tj/co/raw/master/LICENSE","zoonavigator-web"
"coa@1.0.1","MIT","https://github.com/veged/coa","https://github.com/veged/coa","zoonavigator-web"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at","https://github.com/sindresorhus/code-point-at/raw/master/license","zoonavigator-web"
"codelyzer@2.0.1","MIT","https://github.com/mgechev/codelyzer","https://github.com/mgechev/codelyzer","zoonavigator-web"
"color-convert@1.9.0","MIT","https://github.com/qix-/color-convert","https://github.com/qix-/color-convert/raw/master/LICENSE","zoonavigator-web"
"color-name@1.1.2","MIT","https://github.com/dfcreative/color-name","https://github.com/dfcreative/color-name/raw/master/LICENSE","zoonavigator-web"
"color-string@0.3.0","MIT","https://github.com/harthur/color-string","https://github.com/harthur/color-string/raw/master/LICENSE","zoonavigator-web"
"color@0.11.4","MIT","https://github.com/qix-/color","https://github.com/qix-/color/raw/master/LICENSE","zoonavigator-web"
"colormin@1.1.2","MIT","https://github.com/ben-eb/colormin","https://github.com/ben-eb/colormin/raw/master/LICENSE-MIT","zoonavigator-web"
"colors@1.1.2","MIT","https://github.com/Marak/colors.js","https://github.com/Marak/colors.js/raw/master/LICENSE","zoonavigator-web"
"combine-lists@1.0.1","MIT","https://github.com/sjelin/combine-lists","https://github.com/sjelin/combine-lists/raw/master/LICENSE","zoonavigator-web"
"combined-stream@1.0.5","MIT","https://github.com/felixge/node-combined-stream","https://github.com/felixge/node-combined-stream/raw/master/License","zoonavigator-web"
"commander@2.9.0","MIT","https://github.com/tj/commander.js","https://github.com/tj/commander.js/raw/master/LICENSE","zoonavigator-web"
"common-tags@1.4.0","MIT","https://github.com/declandewet/common-tags","https://github.com/declandewet/common-tags/raw/master/license.md","zoonavigator-web"
"component-bind@1.0.0","UNKNOWN","https://github.com/component/bind","https://github.com/component/bind","zoonavigator-web"
"component-emitter@1.1.2","UNKNOWN","https://github.com/component/emitter","https://github.com/component/emitter","zoonavigator-web"
"component-emitter@1.2.1","MIT","https://github.com/component/emitter","https://github.com/component/emitter/raw/master/LICENSE","engine.io-client:zoonavigator-web"
"component-inherit@0.0.3","UNKNOWN","https://github.com/component/inherit","https://github.com/component/inherit","zoonavigator-web"
"compressible@2.0.10","MIT","https://github.com/jshttp/compressible","https://github.com/jshttp/compressible/raw/master/LICENSE","zoonavigator-web"
"compression@1.6.2","MIT","https://github.com/expressjs/compression","https://github.com/expressjs/compression/raw/master/LICENSE","zoonavigator-web"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map","https://github.com/substack/node-concat-map/raw/master/LICENSE","zoonavigator-web"
"configstore@3.0.0","BSD-2-Clause","https://github.com/yeoman/configstore","https://github.com/yeoman/configstore","zoonavigator-web"
"connect-history-api-fallback@1.3.0","MIT","https://github.com/bripkens/connect-history-api-fallback","https://github.com/bripkens/connect-history-api-fallback/raw/master/LICENSE","zoonavigator-web"
"connect@3.6.0","MIT","https://github.com/senchalabs/connect","https://github.com/senchalabs/connect/raw/master/LICENSE","zoonavigator-web"
"console-browserify@1.1.0","MIT","https://github.com/Raynos/console-browserify","http://github.com/Raynos/console-browserify/raw/master/LICENSE","zoonavigator-web"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings","https://github.com/iarna/console-control-strings/raw/master/LICENSE","zoonavigator-web"
"constants-browserify@1.0.0","MIT","https://github.com/juliangruber/constants-browserify","https://github.com/juliangruber/constants-browserify","zoonavigator-web"
"content-disposition@0.5.2","MIT","https://github.com/jshttp/content-disposition","https://github.com/jshttp/content-disposition/raw/master/LICENSE","zoonavigator-web"
"content-type@1.0.2","MIT","https://github.com/jshttp/content-type","https://github.com/jshttp/content-type/raw/master/LICENSE","zoonavigator-web"
"convert-source-map@1.5.0","MIT","https://github.com/thlorenz/convert-source-map","https://github.com/thlorenz/convert-source-map/raw/master/LICENSE","zoonavigator-web"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature","https://github.com/visionmedia/node-cookie-signature","zoonavigator-web"
"cookie@0.3.1","MIT","https://github.com/jshttp/cookie","https://github.com/jshttp/cookie/raw/master/LICENSE","zoonavigator-web"
"core-js@2.4.1","MIT","https://github.com/zloirock/core-js","https://github.com/zloirock/core-js/raw/master/LICENSE","zoonavigator-web"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is","https://github.com/isaacs/core-util-is/raw/master/LICENSE","zoonavigator-web"
"create-ecdh@4.0.0","MIT","https://github.com/crypto-browserify/createECDH","https://github.com/crypto-browserify/createECDH","zoonavigator-web"
"create-error-class@3.0.2","MIT","https://github.com/floatdrop/create-error-class","https://github.com/floatdrop/create-error-class/raw/master/license","zoonavigator-web"
"create-hash@1.1.2","MIT","https://github.com/crypto-browserify/createHash","https://github.com/crypto-browserify/createHash","zoonavigator-web"
"create-hmac@1.1.4","MIT","https://github.com/crypto-browserify/createHmac","https://github.com/crypto-browserify/createHmac","zoonavigator-web"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async","https://github.com/IndigoUnited/node-cross-spawn-async/raw/master/LICENSE","zoonavigator-web"
"cross-spawn@3.0.1","MIT","https://github.com/IndigoUnited/node-cross-spawn","https://github.com/IndigoUnited/node-cross-spawn/raw/master/LICENSE","zoonavigator-web"
"cryptiles@2.0.5","BSD-3-Clause","https://github.com/hapijs/cryptiles","https://github.com/hapijs/cryptiles/raw/master/LICENSE","zoonavigator-web"
"crypto-browserify@3.11.0","MIT","https://github.com/crypto-browserify/crypto-browserify","https://github.com/crypto-browserify/crypto-browserify/raw/master/LICENSE","zoonavigator-web"
